
Note: No compatibility mode selected!


Circuit: * ifa 77g testbench - ihp sg13g2 pdk

Doing analysis at TEMP = 27.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver

No. of Data Rows : 301
                      * ifa 77g testbench - ihp sg13g2 pdk
                      AC Analysis  Mon Aug  3 23:37:37  2026
--------------------------------------------------------------------------------
Index   frequency       outp                            
--------------------------------------------------------------------------------
0	1.000000e+06	1.793335e-01,	1.052633e-03	
1	1.023293e+06	1.793356e-01,	1.077074e-03	
2	1.047129e+06	1.793377e-01,	1.102078e-03	
3	1.071519e+06	1.793400e-01,	1.127659e-03	
4	1.096478e+06	1.793423e-01,	1.153829e-03	
5	1.122018e+06	1.793448e-01,	1.180603e-03	
6	1.148154e+06	1.793474e-01,	1.207992e-03	
7	1.174898e+06	1.793501e-01,	1.236011e-03	
8	1.202264e+06	1.793529e-01,	1.264675e-03	
9	1.230269e+06	1.793559e-01,	1.293997e-03	
10	1.258925e+06	1.793590e-01,	1.323993e-03	
11	1.288250e+06	1.793622e-01,	1.354677e-03	
12	1.318257e+06	1.793656e-01,	1.386064e-03	
13	1.348963e+06	1.793692e-01,	1.418171e-03	
14	1.380384e+06	1.793729e-01,	1.451013e-03	
15	1.412538e+06	1.793768e-01,	1.484606e-03	
16	1.445440e+06	1.793809e-01,	1.518967e-03	
17	1.479108e+06	1.793852e-01,	1.554113e-03	
18	1.513561e+06	1.793896e-01,	1.590060e-03	
19	1.548817e+06	1.793943e-01,	1.626827e-03	
20	1.584893e+06	1.793992e-01,	1.664431e-03	
21	1.621810e+06	1.794044e-01,	1.702891e-03	
22	1.659587e+06	1.794097e-01,	1.742224e-03	
23	1.698244e+06	1.794154e-01,	1.782450e-03	
24	1.737801e+06	1.794213e-01,	1.823587e-03	
25	1.778279e+06	1.794274e-01,	1.865655e-03	
26	1.819701e+06	1.794339e-01,	1.908675e-03	
27	1.862087e+06	1.794406e-01,	1.952665e-03	
28	1.905461e+06	1.794477e-01,	1.997647e-03	
29	1.949845e+06	1.794551e-01,	2.043641e-03	
30	1.995262e+06	1.794629e-01,	2.090668e-03	
31	2.041738e+06	1.794710e-01,	2.138749e-03	
32	2.089296e+06	1.794794e-01,	2.187907e-03	
33	2.137962e+06	1.794883e-01,	2.238163e-03	
34	2.187762e+06	1.794976e-01,	2.289540e-03	
35	2.238721e+06	1.795073e-01,	2.342059e-03	
36	2.290868e+06	1.795175e-01,	2.395745e-03	
37	2.344229e+06	1.795282e-01,	2.450619e-03	
38	2.398833e+06	1.795393e-01,	2.506706e-03	
39	2.454709e+06	1.795510e-01,	2.564029e-03	
40	2.511886e+06	1.795632e-01,	2.622612e-03	
41	2.570396e+06	1.795759e-01,	2.682479e-03	
42	2.630268e+06	1.795893e-01,	2.743654e-03	
