time_ns,LNA_P,LNA_N,Mixer_IF_P,Mixer_IF_N,IFA_P,IFA_N,VGA_P,VGA_N
5.670591770000001,0.887244868,0.887555959,0.855991035,0.84547252,2.91070183,2.69684248,2.38660613,0.406411859
5.77059177,0.888351307,0.886637862,0.841114127,0.830200462,2.90328888,2.70010095,2.3819237,0.406720588
5.870591770000001,0.887580631,0.888328937,0.846285354,0.835851823,2.90023455,2.70669572,2.37859918,0.409117037
5.97059177,0.886520041,0.887771992,0.851736331,0.840975408,2.89605614,2.71196085,2.37315064,0.411277717
6.07059177,0.888798467,0.887275868,0.837387505,0.826658868,2.8900029,2.7154931,2.36888772,0.412366874
6.17059177,0.88756233,0.887251018,0.855935636,0.845459765,2.88860799,2.72269751,2.36492533,0.415817824
6.270591769999999,0.886631005,0.888344682,0.841193925,0.830322219,2.88183181,2.72517963,2.35961208,0.416612928
6.37059177,0.888333534,0.88758526,0.846106471,0.835717837,2.87936203,2.73099447,2.3557605,0.419434084
6.4705917699999995,0.88777165,0.886519468,0.851810138,0.841099256,2.87585729,2.73556671,2.34989664,0.422065183
6.57059177,0.887272194,0.888794682,0.837303036,0.826622675,2.87034472,2.73829357,2.34529077,0.423536883
6.67059177,0.887257219,0.887568751,0.855866689,0.845447085,2.86956958,2.74481982,2.3410532,0.427387415
6.77059177,0.888338112,0.886624201,0.841267633,0.83045103,2.86335656,2.74656956,2.33556375,0.428532383
6.87059177,0.88758961,0.888337914,0.845925092,0.835594789,2.86136582,2.75164462,2.33169239,0.431627754
6.97059177,0.886518956,0.88777137,0.851878423,0.841230137,2.85846871,2.7556026,2.32578185,0.434597507
7.07059177,0.888790866,0.887268313,0.837233285,0.826613885,2.85343579,2.75758724,2.32109965,0.436375656
7.170591770000001,0.887574976,0.887263229,0.855791451,0.84543933,2.85322865,2.7635086,2.31683493,0.44054629
7.270591769999999,0.886617435,0.88833158,0.841337698,0.830587218,2.84751135,2.76458868,2.31142122,0.441960409
7.37059177,0.888342395,0.887594121,0.845735971,0.835473797,2.84595629,2.76900532,2.30767987,0.445259529
