 7.60804020e+10 -4.47564328e+01  7.60804020e+10 -4.43233472e-01 
 7.62814070e+10 -4.48750907e+01  7.62814070e+10 -4.43505303e-01 
 7.64824121e+10 -4.49937492e+01  7.64824121e+10 -4.43778334e-01 
 7.66834171e+10 -4.51124080e+01  7.66834171e+10 -4.44052565e-01 
 7.68844221e+10 -4.52310673e+01  7.68844221e+10 -4.44327998e-01 
 7.70854271e+10 -4.53497270e+01  7.70854271e+10 -4.44604634e-01 
 7.72864322e+10 -4.54683870e+01  7.72864322e+10 -4.44882473e-01 
 7.74874372e+10 -4.55870474e+01  7.74874372e+10 -4.45161515e-01 
 7.76884422e+10 -4.57057081e+01  7.76884422e+10 -4.45441763e-01 
 7.78894472e+10 -4.58243690e+01  7.78894472e+10 -4.45723216e-01 
 7.80904523e+10 -4.59430302e+01  7.80904523e+10 -4.46005875e-01 
 7.82914573e+10 -4.60616915e+01  7.82914573e+10 -4.46289741e-01 
 7.84924623e+10 -4.61803531e+01  7.84924623e+10 -4.46574814e-01 
 7.86934673e+10 -4.62990148e+01  7.86934673e+10 -4.46861095e-01 
 7.88944724e+10 -4.64176766e+01  7.88944724e+10 -4.47148585e-01 
 7.90954774e+10 -4.65363385e+01  7.90954774e+10 -4.47437285e-01 
 7.92964824e+10 -4.66550005e+01  7.92964824e+10 -4.47727193e-01 
 7.94974874e+10 -4.67736625e+01  7.94974874e+10 -4.48018312e-01 
 7.96984925e+10 -4.68923245e+01  7.96984925e+10 -4.48310642e-01 
 7.98994975e+10 -4.70109865e+01  7.98994975e+10 -4.48604183e-01 
 8.01005025e+10 -4.71296484e+01  8.01005025e+10 -4.48898935e-01 
 8.03015075e+10 -4.72483103e+01  8.03015075e+10 -4.49194898e-01 
 8.05025126e+10 -4.73669720e+01  8.05025126e+10 -4.49492074e-01 
 8.07035176e+10 -4.74856335e+01  8.07035176e+10 -4.49790462e-01 
 8.09045226e+10 -4.76042949e+01  8.09045226e+10 -4.50090063e-01 
 8.11055276e+10 -4.77229560e+01  8.11055276e+10 -4.50390876e-01 
