# Logfile created on 2026-07-14 11:04:46 -0400 by logger.rb/61378
2026-07-14 11:04:47 -0400: Memory Usage (416944K) : baspoly_pin has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (416944K) : psd_drw has 25 polygons
2026-07-14 11:04:47 -0400: Memory Usage (416944K) : nldb_drw has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (417208K) : digibnd_drw has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (417208K) : via1_drw has 18 polygons
2026-07-14 11:04:47 -0400: Memory Usage (417208K) : backmetal1_drw has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (417208K) : backmetal1_pin has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (417472K) : backmetal1_mask has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (417472K) : backmetal1_filler has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (417472K) : backmetal1_nofill has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (417472K) : backmetal1_slit has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (417472K) : backmetal1_text has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (417736K) : backmetal1_opc has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (417736K) : backmetal1_noqrc has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (417736K) : backmetal1_res has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (417736K) : backmetal1_iprobe has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (417736K) : backmetal1_diffprb has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (418000K) : backpassiv_drw has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (418000K) : res_drw has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (418000K) : sram_drw has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (418000K) : trans_drw has 16 polygons
2026-07-14 11:04:47 -0400: Memory Usage (418000K) : ind_drw has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (418264K) : ind_pin has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (418264K) : ind_text has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (418264K) : salblock_drw has 3 polygons
2026-07-14 11:04:47 -0400: Memory Usage (418264K) : via2_drw has 2 polygons
2026-07-14 11:04:47 -0400: Memory Usage (418264K) : metal3_drw has 5 polygons
2026-07-14 11:04:47 -0400: Memory Usage (418528K) : metal3_pin has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (418528K) : metal3_mask has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (418528K) : metal3_filler has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (418528K) : metal3_nofill has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (418528K) : metal3_slit has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (418792K) : metal3_text has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (418792K) : metal3_opc has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (418792K) : metal3_noqrc has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (418792K) : metal3_res has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (418792K) : metal3_iprobe has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (419056K) : metal3_diffprb has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (419056K) : nwell_drw has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (419056K) : nwell_pin has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (419056K) : nbulay_drw has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (419056K) : nbulay_pin has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (419320K) : nbulay_block has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (419320K) : emwind_drw has 16 polygons
2026-07-14 11:04:47 -0400: Memory Usage (419320K) : emwind_opc has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (419320K) : deepco_drw has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (419584K) : deepco_drw has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (419584K) : mim_drw has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (419584K) : edgeseal_drw has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (419584K) : edgeseal_bound has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (419584K) : substrate_drw has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (419848K) : substrate_text has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (419848K) : dfpad_drw has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (419848K) : dfpad_pillar has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (419848K) : dfpad_sbump has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (419848K) : thickgateox_drw has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (420112K) : pldb_drw has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (420112K) : pwell_drw has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (420112K) : pwell_pin has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (420112K) : pwell_block has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (420376K) : ic_drw has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (420376K) : via3_drw has 2 polygons
2026-07-14 11:04:47 -0400: Memory Usage (420376K) : metal4_drw has 4 polygons
2026-07-14 11:04:47 -0400: Memory Usage (420376K) : metal4_pin has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (420376K) : metal4_mask has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (420640K) : metal4_filler has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (420640K) : metal4_nofill has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (420640K) : metal4_slit has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (420640K) : metal4_text has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (420904K) : metal4_opc has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (420904K) : metal4_noqrc has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (420904K) : metal4_res has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (420904K) : metal4_iprobe has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (420904K) : metal4_diffprb has 0 polygons
