 0.00000000e+00  1.65000000e+00 
 2.50000000e-10  1.65000421e+00 
 3.40997835e-10  1.65000630e+00 
 5.22993506e-10  1.65001158e+00 
 8.86984846e-10  1.65002861e+00 
 1.61496753e-09  1.65008763e+00 
 2.43690493e-09  1.65019221e+00 
 3.84218311e-09  1.65045594e+00 
 5.89743205e-09  1.65101211e+00 
 9.55096492e-09  1.65240423e+00 
 1.60170345e-08  1.65576236e+00 
 2.86886142e-08  1.66412239e+00 
 4.70465501e-08  1.67787738e+00 
 7.20465501e-08  1.69725463e+00 
 9.70465501e-08  1.71668619e+00 
 1.22046550e-07  1.73609720e+00 
 1.47046550e-07  1.75548626e+00 
 1.72046550e-07  1.77484823e+00 
 1.97046550e-07  1.79417819e+00 
 2.22046550e-07  1.81347123e+00 
 2.47046550e-07  1.83272246e+00 
 2.72046550e-07  1.85192706e+00 
 2.97046550e-07  1.87108021e+00 
 3.22046550e-07  1.89017715e+00 
 3.47046550e-07  1.90920327e+00 
 3.72046550e-07  1.92817294e+00 
 3.97046550e-07  1.94707245e+00 
 4.22046550e-07  1.96589721e+00 
 4.47046550e-07  1.98464272e+00 
 4.72046550e-07  2.00330453e+00 
 4.97046550e-07  2.02187828e+00 
 5.22046550e-07  2.04035966e+00 
 5.47046550e-07  2.05874443e+00 
 5.72046550e-07  2.07702844e+00 
 5.97046550e-07  2.09520761e+00 
 6.22046550e-07  2.11327792e+00 
 6.47046550e-07  2.13123545e+00 
 6.72046550e-07  2.14907636e+00 
 6.97046550e-07  2.16679690e+00 
 7.22046550e-07  2.18439337e+00 
 7.47046550e-07  2.20186221e+00 
 7.72046550e-07  2.21919992e+00 
 7.97046550e-07  2.23640308e+00 
 8.22046550e-07  2.25346839e+00 
 8.47046550e-07  2.27039261e+00 
 8.72046550e-07  2.28717263e+00 
 8.97046550e-07  2.30380541e+00 
 9.22046550e-07  2.32028800e+00 
 9.47046550e-07  2.33661756e+00 
 9.72046550e-07  2.35279134e+00 
 9.97046550e-07  2.36880667e+00 
 1.02204655e-06  2.38466101e+00 
 1.04704655e-06  2.40035187e+00 
 1.07204655e-06  2.41587688e+00 
 1.09704655e-06  2.43123378e+00 
 1.12204655e-06  2.44642036e+00 
 1.14704655e-06  2.46143454e+00 
 1.17204655e-06  2.47627432e+00 
 1.19704655e-06  2.49093778e+00 
 1.22204655e-06  2.50542310e+00 
 1.24704655e-06  2.51972856e+00 
 1.27204655e-06  2.53385250e+00 
 1.29704655e-06  2.54779338e+00 
 1.32204655e-06  2.56154971e+00 
 1.34704655e-06  2.57512010e+00 
 1.37204655e-06  2.58850326e+00 
 1.39704655e-06  2.60169794e+00 
 1.42204655e-06  2.61470301e+00 
 1.44704655e-06  2.62751739e+00 
 1.47204655e-06  2.64014008e+00 
 1.49704655e-06  2.65257017e+00 
 1.52204655e-06  2.66480679e+00 
 1.54704655e-06  2.67684917e+00 
 1.57204655e-06  2.68869659e+00 
 1.59704655e-06  2.70034840e+00 
 1.62204655e-06  2.71180403e+00 
 1.64704655e-06  2.72306293e+00 
 1.67204655e-06  2.73412466e+00 
 1.69704655e-06  2.74498880e+00 
 1.72204655e-06  2.75565501e+00 
 1.74704655e-06  2.76612298e+00 
 1.77204655e-06  2.77639246e+00 
 1.79704655e-06  2.78646328e+00 
 1.82204655e-06  2.79633526e+00 
 1.84704655e-06  2.80600831e+00 
 1.87204655e-06  2.81548237e+00 
 1.89704655e-06  2.82475741e+00 
 1.92204655e-06  2.83383346e+00 
 1.94704655e-06  2.84271058e+00 
 1.97204655e-06  2.85138884e+00 
 1.99704655e-06  2.85986838e+00 
 2.02204655e-06  2.86814936e+00 
 2.04704655e-06  2.87623195e+00 
 2.07204655e-06  2.88411638e+00 
 2.09704655e-06  2.89180287e+00 
 2.12204655e-06  2.89929169e+00 
 2.14704655e-06  2.90658313e+00 
 2.17204655e-06  2.91367749e+00 
 2.19704655e-06  2.92057510e+00 
 2.22204655e-06  2.92727629e+00 
 2.24704655e-06  2.93378141e+00 
 2.27204655e-06  2.94009086e+00 
 2.29704655e-06  2.94620499e+00 
 2.32204655e-06  2.95212421e+00 
 2.34704655e-06  2.95784893e+00 
 2.37204655e-06  2.96337954e+00 
 2.39704655e-06  2.96871647e+00 
 2.42204655e-06  2.97386015e+00 
 2.44704655e-06  2.97881100e+00 
 2.47204655e-06  2.98356945e+00 
 2.49704655e-06  2.98813593e+00 
 2.52204655e-06  2.99251088e+00 
 2.54704655e-06  2.99669472e+00 
 2.57204655e-06  3.00068790e+00 
 2.59704655e-06  3.00449083e+00 
 2.62204655e-06  3.00810395e+00 
 2.64704655e-06  3.01152767e+00 
 2.67204655e-06  3.01476242e+00 
 2.69704655e-06  3.01780859e+00 
 2.72204655e-06  3.02066659e+00 
 2.74704655e-06  3.02333682e+00 
 2.77204655e-06  3.02582084e+00 
 2.79704655e-06  3.02811652e+00 
 2.82204655e-06  3.03022557e+00 
 2.84704655e-06  3.03214835e+00 
 2.87204655e-06  3.03388521e+00 
 2.89704655e-06  3.03543649e+00 
 2.92204655e-06  3.03680252e+00 
 2.94704655e-06  3.03798360e+00 
 2.97204655e-06  3.03898005e+00 
 2.99704655e-06  3.03979215e+00 
 3.02204655e-06  3.04042018e+00 
