-4.00000000e+01  2.48012950e+00 
-3.50000000e+01  2.47860529e+00 
-3.00000000e+01  2.47707182e+00 
-2.50000000e+01  2.47552894e+00 
-2.00000000e+01  2.47397686e+00 
-1.50000000e+01  2.47241569e+00 
-1.00000000e+01  2.47084554e+00 
-5.00000000e+00  2.46926651e+00 
 0.00000000e+00  2.46767870e+00 
 5.00000000e+00  2.46608222e+00 
 1.00000000e+01  2.46447715e+00 
 1.50000000e+01  2.46286358e+00 
 2.00000000e+01  2.46124160e+00 
 2.50000000e+01  2.45961129e+00 
 3.00000000e+01  2.45797273e+00 
 3.50000000e+01  2.45632600e+00 
 4.00000000e+01  2.45467118e+00 
 4.50000000e+01  2.45300834e+00 
 5.00000000e+01  2.45133755e+00 
 5.50000000e+01  2.44965888e+00 
 6.00000000e+01  2.44797239e+00 
 6.50000000e+01  2.44627815e+00 
 7.00000000e+01  2.44457622e+00 
 7.50000000e+01  2.44286666e+00 
 8.00000000e+01  2.44114953e+00 
 8.50000000e+01  2.43942488e+00 
 9.00000000e+01  2.43769275e+00 
 9.50000000e+01  2.43595321e+00 
 1.00000000e+02  2.43420627e+00 
 1.05000000e+02  2.43245198e+00 
 1.10000000e+02  2.43069035e+00 
 1.15000000e+02  2.42892138e+00 
 1.20000000e+02  2.42714505e+00 
 1.25000000e+02  2.42536127e+00 
